TYPE (F/C)	F: Alias	F: Database Table	"F: Database Field (or ""UDF"")"	F: Long Name	F: Short Name	F: User Type	F: User Length	F: User Decimals	F: Reference Table Name
C	3	Special Contract	3						
C	6	Standard Contract	6						
C	8	Non tuitioned	8						
F	i4see 1764	STUDENT	UDF	CATE Days In Attendance S1	CATE Days In Attendance S1		6	2	
F	i4see 1765	STUDENT	UDF	CATE Days In Attendance S2	CATE Days In Attendance S2		6	2	
F	i4see 1420	DISTRICT_SCHOOL_YEAR_CONTEXT	CTX_SCHOOL_YEAR	School Year	School Year		4	0	
F	i4see 1750	COURSE	UDF	Concentrator	Concentrator	Logical	1	0	
F	i4see 1755	STUDENT	UDF	Total Comp Completed	TotalCompCompleted		3	0	
F	i4see 1760	STUDENT	UDF	Meetings In Attendance	MeetingsInAttd		3	0	
F	i4see 240 CATE	STUDENT_PROGRAM_PARTICIPATION	UDF	Entry Code	Entry Code		3	0	i4see CATE Entry Codes
C	V1	In-State Tuitioned	V1						
C	V2	Out-of-State Tuitioned	V2						
C	V3	Not Tuitioned	V3						
C	V4	Not CTE Student	V4						
F	i4see 260 CATE	STUDENT_PROGRAM_PARTICIPATION	UDF	Exit Code	Exit Code		3	0	i4see CATE Exit Codes
C	W6	Transferred to another public institution	W6						
C	W10	Deceased	W10						
C	W31	Continuing in the CTE program	W31						
C	W32	Completed the CTE program	W32						
C	W33	"Completed high school, not CTE"	W33						
C	W34	Transferred to non-CTE program	W34						
C	W35	Transferred to another high school	W35						
C	W36	Withdrew - unstisfactory academics	W36						
C	W37	Withdrew - economic reasons	W37						
C	W38	Withdrew - reasons known	W38						
C	W39	Withdrew - reasons unknown	W39						
C	W40	Transferred to a different CTE program	W40						
F	i4see 230 CATE	STUDENT_PROGRAM_PARTICIPATION	PGM_START_DATE	Start Date	Start Date		10	0	
F	i4see 250 CATE	STUDENT_PROGRAM_PARTICIPATION	PGM_END_DATE	End Date	End Date		10	0	
F	i4see 240 CATE alt	STUDENT_SCHEDULE_CHANGE	UDF	CATE Entry Code	CATE Entry Code		10	0	i4see CATE Entry Codes
C	V1	In-State Tuitioned	V1						
C	V2	Out-of-State Tuitioned	V2						
C	V3	Not Tuitioned	V3						
C	V4	Not CTE Student	V4						
F	i4see 260 CATE alt	STUDENT_SCHEDULE_CHANGE	UDF	CATE Exit Code	CATE Exit Code		10	0	i4see CATE Exit Codes
C	W6	Transferred to another public institution	W6						
C	W10	Deceased	W10						
C	W31	Continuing in the CTE program	W31						
C	W32	Completed the CTE program	W32						
C	W33	"Completed high school, not CTE"	W33						
C	W34	Transferred to non-CTE program	W34						
C	W35	Transferred to another high school	W35						
C	W36	Withdrew - unstisfactory academics	W36						
C	W37	Withdrew - economic reasons	W37						
C	W38	Withdrew - reasons known	W38						
C	W39	Withdrew - reasons unknown	W39						
C	W40	Transferred to a different CTE program	W40						
F	i4see 230/250 CATE	STUDENT_SCHEDULE_CHANGE	SCC_DATE	Date	Date		10	0	
F	i4see 160	STUDENT	UDF	Displaced Homemaker	Displaced Homemaker	Logical	1	0	
F	i4see 161	STUDENT	UDF	Single Parent	Single Parent	Logical	1	0	
F	i4see CATE CONTEXT	STUDENT_PROGRAM_PARTICIPATION	UDF	i4See CATE Context	i4see Ctx		20	0	
