TYPE (F/C)	F: Alias	F: Database Table	"F: Database Field (or ""UDF"")"	F: Long Name	F: Short Name	F: User Type	F: User Length	F: User Decimals	F: Reference Table Name
C	582	Winnisquam Regional		582					
C	930	Parent Paid		930					
C	999	Pinkerton Academy		999					
F	i4see 050	SCHOOL	SKL_SCHOOL_ID	Identifier	ID	Character	20	0	
F	i4see CATE	SCHOOL	UDF	CATE	CATE	Logical	1	0	
F	i4see 030	ORGANIZATION	UDF	SAU Number	SAU Number	Character	10	0	
F	i4see 040	ORGANIZATION	UDF	District Number	District Number	Character	10	0	
F	i4see 420	PERSON_RACE	RAC_RACE_CODE	Race code	Race	Character	25	0	
F	i4see AP ID	COURSE	UDF	i4see AP Element ID (3 digit)	i4see AP ID		3	0	
F	i4see 100	PERSON	PSN_DOB	Date of birth	DOB	DOB	10	0	
F	i4see 60	STUDENT	UDF	Exit Code	Exit Code		10	0	
F	i4see 490	STUDENT	UDF	Title 1 - Math	T1-Math	Logical	1	0	
F	i4see 491	STUDENT	UDF	Title 1 - Reading and Language Arts	T1-Reading	Logical	1	0	
F	i4see 492	STUDENT	UDF	Title 1 - Science	T1-Science	Logical	1	0	
F	i4see 493	STUDENT	UDF	Title 1 - Social Studies	T1-SocStudies	Logical	1	0	
F	i4see 494	STUDENT	UDF	Title 1 - Career and Tech Ed	T1-Career	Logical	1	0	
F	i4see 495	STUDENT	UDF	Title 1 - Other Instructional Prog	T1-Other Instruction	Logical	1	0	
F	i4see 496	STUDENT	UDF	"Title 1 - Health, Dental or Eye Care"	T1-Health	Logical	1	0	
F	i4see 497	STUDENT	UDF	Title 1 - Supporting Guidance or Advocacy	T1-Guidance	Logical	1	0	
F	i4see 498	STUDENT	UDF	Title 1 - Other Supportive Services	T1-Other Support	Logical	1	0	
F	i4see 640 	STUDENT	UDF	Reading Recovery	Reading Recovery	Logical	1	0	
F	i4see Susp Length	STUDENT_CONDUCT_ACTION	ACT_PENALTY_TIME	Penalty Time	Penalty		10	0	
F	AP Exam Taken	STUDENT_TRANSCRIPT	UDF	AP Exam Taken	AP Exam Taken		10	0	
