TYPE (F),F:Alias,F:Database Table,"F:Database Field (or ""UDF"")",F:Long Name,F:Short Name,F:User Type,F:User Length,F:User Decimals,F:Reference Table Name,F:Reference Display Mode (Dropdown/Picklist),F:Reference Valid Code Required
F,all-cnd-WeaponType,STUDENT_CONDUCT_INCIDENT,UDF,"Weapon, Description",Weapon  Desc,Character,1,0,FL Conduct Incident Weapon Description,Dropdown,
F,all-cnd-IncidentLocation,STUDENT_CONDUCT_INCIDENT,CND_INCIDENT_LOCATION,"Incident, Location",Incident Location,Character,3,0,FL Conduct Incident Location,Dropdown,
F,all-cnd-ZeroTolerance,STUDENT_CONDUCT_INCIDENT,UDF,"Incident, Zero Tolerance",Zero Tolerance,Logical,1,0,,,
F,all-crs-BlendedLearningIndicator,COURSE,UDF,Blended Learning,BlendedLearning,Logical,1,0,,,
F,all-cnd-IncidentType,STUDENT_CONDUCT_INCIDENT,CND_INCIDENT_CODE,"Incident, Type ",Incident Type ,Character,3,0,FL Conduct Incident Type,Dropdown,
F,all-act-ActionCode,STUDENT_CONDUCT_ACTION,ACT_ACTION_CODE,"Code","Code",Character,20,0,FL Action Codes,Dropdown,
F,all-crs-CTECompletionPointCode,COURSE,UDF,CTE Completion Point Code,CTE Comp Point Code,Character,6,0,,,
F,all-crs-CTEProgramCode,COURSE,UDF,CTE Program Code,CTEProgram,Character,7,0,FL WDIS Program Codes,Dropdown,
F,all-crs-Flag,COURSE,UDF,Course Flag,Course Flag,Text,51,0,FL Course Flag,Picklist,
F,all-crs-NumbSubstit,COURSE,UDF,Course Number Substituted,Crs Number Substit,Character,7,0,,,
F,all-crs-OnlineCourse,COURSE,UDF,Online Course,Online Course,Character,1,0,FL Online Course,Dropdown,
F,all-crs-StateSAR,COURSE,UDF,"Course, State Subject Area Requirements",Crs State SAR,Character,2,0,FL Course State Subject Area Requirements,Dropdown,
F,all-crs-SubstitSSAR,COURSE,UDF,Course Substit State Subject Area Req,Crs Substit State SAR,Character,2,0,FL Course Substituted State Subject Area Requirements,Dropdown,
F,all-crs-StateId,COURSE,UDF,State Course Number,StateCourseNumber,Character,7,0,FL Course Codes,Dropdown,
F,all-crs-SchoolLvls,COURSE,CRS_SCHOOL_LEVEL,School level,SchoolLevel,Character,0,0,FL School Level Codes,Dropdown,
F,all-csk-BlendedLearningIndicator,COURSE_SCHOOL,UDF,Blended Learning,BlendedLearning,Logical,1,0,,,
F,all-csk-NCLBTitleIIIFunded,COURSE_SCHOOL,UDF,NCLB Title III Funded,TitleIIIFunded,Logical,1,0,,,
F,all-enr-DisasterAffected,STUDENT_ENROLLMENT,UDF,Disaster Affected,DisasterAffected,Character,1,0,FL Disaster Affected,Dropdown,
C,B,Moved to this district this school year due to the Gulf of Mexico Deepwater Horizon oil spill,B,,,,,,,,
C,E,Moved to this district this school year due to an earthquake,E,,,,,,,,
C,Q,Changed schools within this district this school year due to an earthquake,Q,,,,,,,,
C,W,Changed schools within this district this school year due to a hurricane,W,,,,,,,,
C,Y,Moved to this district this school year due to a hurricane,Y,,,,,,,,
F,all-enr-EducationalChoice,STUDENT_ENROLLMENT,UDF,Educational Choice,EducationalChoice,Character,1,0,FL Educational Choice,Dropdown,
C,A,Controlled Open Enrollment,A,,,,,,,,
C,B,Special Program,B,,,,,,,,
C,C,Choice with Transportation,C,,,,,,,,
C,D,Transfer from a Persistently Dangerous School,D,,,,,,,,
C,E,Transfer due to having been the Victim of Violent Crime,E,,,,,,,,
C,D,Transfer from a school that received a School Grade of F or 3 consecutive grades of D,B,,,,,,,,
C,M,McKay Scholarship,M,,,,,,,,
F,all-enr-Offender,STUDENT_ENROLLMENT,UDF,Student Offender Transfer,Offender,Logical,1,0,,,
F,all-enr-PriorSchoolCounty,STUDENT_ENROLLMENT,UDF,Prior School County,PriorSchoolCounty,Character,2,0,FL District/County Codes,Dropdown,
F,all-enr-PriorSchoolCountry,STUDENT_ENROLLMENT,UDF,Prior School Country,PriorSchoolCountry,Character,2,0,FL Country Codes,Dropdown,
F,all-enr-PriorSchoolState,STUDENT_ENROLLMENT,UDF,Prior School State,PriorSchoolState,Character,2,0,FL State/Territory Codes,Dropdown,
F,all-enr-ResidentStatus,STUDENT_ENROLLMENT,UDF,Resident Status,ResidentStatus,Character,1,0,FL Resident Status Codes,Dropdown,
C,4,Florida resident,4,,,,,,,,
C,5,Out-of-state resident,5,,,,,,,,
C,6,In-state evacuee.,6,,,,,,,,
C,7,Out-of-state evacuee,7,,,,,,,,
C,0,Foreign Exchange student enrolled in a Florida public school.,0,,,,,,,,
C,2,Out-of-state resident enrolled in this school district.,2,,,,,,,,
C,3,In-county resident.,3,,,,,,,,
C,A,Out-of-county resident enrolled in this school district pursuant to an inter-district agreement fo,A,,,,,,,,
C,B,Out-of-county resident enrolled in this school district under circumstances other than in codes 0 ,B,,,,,,,,
C,Z,Not Applicable. Used only for Survey 6 reporting or if School Number Current Enrollment is 9995.,Z,,,,,,,,
F,all-enr-EnrollmentCode,STUDENT_ENROLLMENT,ENR_ENROLLMENT_CODE,Code,Code,Character,3,0,FL Enrollment Codes,Dropdown,
F,all-gpd-StateIndicator,GRADE_GPA_DEFINITION,UDF,State Indicator,State,Logical,1,0,,,
F,all-mst-BlendedLearningIndicator,SCHEDULE_MASTER,UDF,Blended Learning,BlendedLearning,Logical,1,0,,,
F,all-mst-DualEnrollmentIndicator,SCHEDULE_MASTER,UDF,Dual Enrollment Indicator,DualEnrollment,Character,1,0,FL ELL Dual Enrollment,Dropdown,
C,A,Academic dual enrollment.,A,,,,,,,,
C,B,Career and technical education college credit dual enrollment.,B,,,,,,,,
C,C,Career and technical education certificate dual enrollment.,C,,,,,,,,
C,E,Early admission student.,E,,,,,,,,
C,Z,Not Applicable.,Z,,,,,,,,
F,all-mst-DualEnrollmentCrsLoc,SCHEDULE_MASTER,UDF,Dual Enrollment Course Location,DualEnrollmentCrsLoc,Character,1,0,FL Dual Enrollment Course Location Codes,Dropdown,
C,A,COE-accredited career center or charter technical career center campus,A,,,,,,,,
C,B,Other postsecondary/adult school location (non-accredited institution),B,,,,,,,,
C,C,High school campus,C,,,,,,,,
C,D,Other K-12 public school location,D,,,,,,,,
C,Z,Not applicable,Z,,,,,,,,
F,all-mst-ELLInstructionalModel,SCHEDULE_MASTER,UDF,ELL Instructional Model,ELL Model,Character,1,0,FL ELL Instructional Model,Dropdown,
C,C,Mainstream/Inclusion - Core/Basic Subject Areas,C,,,,,,,,
C,E,Sheltered - English,E,,,,,,,,
C,I,Mainstream/Inclusion - English,I,,,,,,,,
C,O,Maintenance or Developmental Bilingual Education,O,,,,,,,,
C,S,Sheltered - Core/Basic Subject Areas,S,,,,,,,,
C,T,Dual Language (Two-way Developmental Bilingual Education),T,,,,,,,,
F,all-mst-NCLBTitleIIIFunded,SCHEDULE_MASTER,UDF,NCLB Title III Funded,TitleIIIFunded,Logical,1,0,,,
F,all-mst-OnlineProvider,SCHEDULE_MASTER,UDF,Online Provider,OnlineProvider,Character,3,0,FL Online Provider,,
C,71,Florida Virtual School ,71,,,,,,,,
C,301,Florida Connections Academy,301,,,,,,,,
C,302,"K12 Florida, LLC ",302,,,,,,,,
C,308,"Somerset Academy, Inc.",308,,,,,,,,
C,309,Edgenuity ,309,,,,,,,,
C,310,Edmentum (Only applied to selected courses.) ,310,,,,,,,,
C,311,Mater Virtual Academy ,311,,,,,,,,
C,312,Odysseyware (Only applied to selected courses.),312,,,,,,,,
C,313,"Connections Education of Florida, LLC (District)",313,,,,,,,,
F,all-mst-ReadingIntervention,SCHEDULE_MASTER,UDF,Reading Intervention Component,ReadingIntervention,Logical,1,0,,,
F,all-mst-StateId,SCHEDULE_MASTER,MST_SECTION_NUMBER,Section number,SecNo,Character,5,0,,,
F,all-mst-VirtualCourseLocation,SCHEDULE_MASTER,UDF,Virtual Location,VirtualLocation,Character,1,0,FL Virtual Location,,
C,N,Not located in a public school district facility,N,,,,,,,,
C,S,Located in public school district facility excluding FLVS,S,,,,,,,,
C,T,Located in public school taking Florida Virtual School (FLVS) course,T,,,,,,,,
F,all-mst-VirtualInstructionProvider,SCHEDULE_MASTER,UDF,Virtual Instruction Provider,VirtualInstruction,Character,3,0,FL Virtual Instruction Provider,,
C,71,Florida Virtual School _ Grades 06-12,71,,,,,,,,
C,301,"Connections Education of Florida, LLC _ Grades KG-05",301,,,,,,,,
C,302,"K12 Florida, LLC _ Grades KG-12",302,,,,,,,,
C,308,"Somerset Academy, Inc. _ Grades 06-12",308,,,,,,,,
C,309,Edgenuity _ Grades 06-12,309,,,,,,,,
C,311,Mater Virtual Academy _ Grades 06-12,311,,,,,,,,
C,313,"District VIP - Connections Education of Florida, LLC _ Grades KG-12",313,,,,,,,,
F,all-mst-WdisStdInstrHrs,SCHEDULE_MASTER,UDF,WDIS Student Instructional Hours,WDIS Std Instr Hrs,Character,4,0,,,
F,all-mst-WdisHrsToAward,SCHEDULE_MASTER,UDF,WDIS Total Hours Earned Towards Award,Total Hrs Ernd Award,Character,6,0,,,
F,all-mtc-CertificationStatus,SCHEDULE_MASTER_TEACHER,UDF,Certification Status,CertStatus,Character,1,0,FL Certification Status,,
C,A,Adjunct teaching certificate,A,,,,,,,,
C,B,Substitute teacher,B,,,,,,,,
C,H,Certified HOUSSE Plan,H,,,,,,,,
C,I,Certified in field being taught,I,,,,,,,,
C,M,Certified teaching in minor field of study,M,,,,,,,,
C,N,Non-certified expert appointed by school board,N,,,,,,,,
C,O,Certified teaching out of field,O,,,,,,,,
C,P,Certified with Masters or higher in STEM rated highly effective,P,,,,,,,,
C,S,Certified teaching in field with demonstrated subject area expertise,S,,,,,,,,
C,V,Prekindergarten instructor qualified to teach Voluntary Prekindergarten classes,V,,,,,,,,
F,all-mtc-HighlyQualifiedStatus,SCHEDULE_MASTER_TEACHER,UDF,Highly Qualified Status,HighlyQualified,Character,1,0,FL Highly Qualified Status,,
C,A,Elementary classes taught by general education teachers who did not pass subject-knowledge test,A,,,,,,,,
C,B,Elementary classes taught by special education teachers who did not pass subject-knowledge test,B,,,,,,,,
C,C,Elementary school classes taught by teachers who are not fully certified,C,,,,,,,,
C,D,Grade 7-12 classes taught by general education teachers who did not demonstrate competency,D,,,,,,,,
C,E,Grade 7-12 classes taught by special education teachers who did not demonstrate competency,E,,,,,,,,
C,G,Not highly qualified for other reason,G,,,,,,,,
C,H,Support Facilitator who is not required to meet NCLB HQT requirements for this course,H,,,,,,,,
C,Y,Teacher meets the definition of Highly Qualified Teacher for this course,Y,,,,,,,,
C,Z,Course is not considered a core academic subject,Z,,,,,,,,
F,all-mtc-NCLBTitleIIIFunded,SCHEDULE_MASTER_TEACHER,UDF,NCLB Title III Funded,TitleIIIFunded,Logical,1,0,,,
F,all-mtc-SchedulingMethod,SCHEDULE_MASTER_TEACHER,UDF,Scheduling Method,Scheduling Method,Character,1,0,FL Scheduling Method,,
C,A,Alternate Week Schedule,A,,,,,,,,
C,B,Block Scheduling,B,,,,,,,,
C,C,Co-teaching,C,,,,,,,,
C,G,Individual or Small Group Instruction,G,,,,,,,,
C,I,In-Class One-on-One,I,,,,,,,,
C,M,Multiple-Use Classroom or Pod,M,,,,,,,,
C,S,Self-contained,S,,,,,,,,
C,W,Wheel Class,W,,,,,,,,
C,Z,Not applicable,Z,,,,,,,,
F,all-mtc-TeamTeacherTraining,SCHEDULE_MASTER_TEACHER,UDF,Team Teacher Training,TeamTeacherTraining,Character,1,0,FL Team Teacher Training,,
C,A,Team teaching prior to 2005,A,,,,,,,,
C,B,Team teaching trained,B,,,,,,,,
C,C,Team teaching training scheduled,C,,,,,,,,
C,D,Team teaching training not scheduled,D,,,,,,,,
C,Z,Not Applicable,Z,,,,,,,,
F,fl-org-FteMultiplierPKto03,ORGANIZATION,UDF,FTE Multiplier PK-03,FteMultPK-03,Number,10,8,,,
F,fl-org-FteMultiplier04to12,ORGANIZATION,UDF,FTE Multiplier 04-12,FteMult04-12,Number,10,8,,,
F,all-org-StateId,ORGANIZATION,ORG_ID,Identifier,ID,Character,2,0,,,
F,all-org-DistrictNumber,ORGANIZATION,UDF,District Number Current Enrollment,District Number CE,Character,2,0,,,
F,all-psn-StateEducationId,PERSON,UDF,FL Education Identifier,FL Education Identifier,Character,14,0,,,
F,all-psn-FLGenderCode,PERSON,PSN_GENDER_CODE,Gender,Gender,Character,1,0,FL Gender Codes,Dropdown,
C,M,Male,M,,,,,,,,
C,F,Female,F,,,,,,,,
F,all-rms-ClassroomIdentificationNo,SCHOOL_ROOM,UDF,Classroom Identification (FISH) Number,FISH Number,Character,21,0,,,
F,all-rms-FacilityType,SCHOOL_ROOM,UDF,Facility Type,FacilityType,Character,2,0,FL Facility Type,,
C,0,School District Facility,0,,,,,,,,
C,1,Church,1,,,,,,,,
C,2,Hospital,2,,,,,,,,
C,3,DCF Residential Institution,3,,,,,,,,
C,4,DCF Community-Based Program,4,,,,,,,,
C,5,State Correctional Facility,5,,,,,,,,
C,6,Federal Correctional Facility,6,,,,,,,,
C,7,County Correctional Facility,7,,,,,,,,
C,8,City Correctional Facility,8,,,,,,,,
C,9,Other Facility operated or owned by an agency or other provider,9,,,,,,,,
C,10,Home,10,,,,,,,,
C,11,Work Site,11,,,,,,,,
C,12,Public Library,12,,,,,,,,
C,13,Community-Based Organization Facility,13,,,,,,,,
C,14,Private Residential Facility,14,,,,,,,,
C,15,Private Day School,15,,,,,,,,
C,16,Learning Center,16,,,,,,,,
C,17,Community Correctional Programs,17,,,,,,,,
C,18,Public/Private Nonprofit Organizations,18,,,,,,,,
C,19,Charter School,19,,,,,,,,
C,20,Virtual School,20,,,,,,,,
F,all-sdp-ComponentNumber,STAFF_PD_PLAN,UDF,Component Number,ComponentNumber,Character,7,0,,,
F,all-sdp-DistrictNumber,STAFF_PD_PLAN,UDF,District Number,DistrictNumber,Character,2,0,,,
F,all-sdp-EvaluationMethodStaff,STAFF_PD_PLAN,UDF,Evaluation Method Staff,EvaluationMethodStaff,Character,1,0,FL Evaluation Method Staff,Dropdown,
C,A,Changes in instructional or learning environment practices,A,,,,,,,,
C,B,Changes in instructional leadership or faculty development practices,B,,,,,,,,
C,C,Changes in student services/support practices,C,,,,,,,,
C,D,Other changes in practices supporting effective implementation of job responsibilities,D,,,,,,,,
C,E,Fidelity of Implementation of the professional learning process,E,,,,,,,,
C,F,Changes in proficiency in implementing targeted state standards,F,,,,,,,,
C,G,Changes in proficiency in practices that occur generally without students,G,,,,,,,,
F,all-sdp-EvaluationMethodStudent,STAFF_PD_PLAN,UDF,Evaluation Method Student,EvaluationMethodStudent,Character,1,0,FL Evaluation Method Student,Dropdown,
C,A,Results of national student performance measure(s),A,,,,,,,,
C,B,Results of school/teacher-constructed measure(s),B,,,,,,,,
C,C,Portfolios of student work,C,,,,,,,,
C,D,Observation of student performance,D,,,,,,,,
C,F,Other performance assessment(s) that reveal impact on students,F,,,,,,,,
C,G,Did not evaluate  as 'evaluation method staff' is more relevant measure,G,,,,,,,,
C,Z,Did not evaluate student outcomes due to absence of a reliable valid and measurable cause,Z,,,,,,,,
F,all-sdp-ImplementationMethod,STAFF_PD_PLAN,UDF,Implementation Method,ImplementationMethod,Character,1,0,FL Implementation Method,Dropdown,
C,M,Structured Coaching/Mentoring,M,,,,,,,,
C,N,Independent Learning/Action Research,N,,,,,,,,
C,O,Collaborative Planning,O,,,,,,,,
C,P,Participant Product related to training or learning process,P,,,,,,,,
C,Q,Lesson Study group participation,Q,,,,,,,,
C,R,Electronic - Interactive with on-going monitoring and feedback,R,,,,,,,,
C,S,Electronic - Non-interactive,S,,,,,,,,
C,T,Evaluation of Practice Indicators,T,,,,,,,,
F,all-sdp-LearningMethod,STAFF_PD_PLAN,UDF,Learning Method,LearningMethod,Character,1,0,FL Learning Method,Dropdown,
C,A,Knowledge Acquisition: Workshop - training event or process,A,,,,,,,,
C,B,Electronic Interactive,B,,,,,,,,
C,C,Electronic Non-Interactive,C,,,,,,,,
C,D,Learning Community/Lesson Study Group,D,,,,,,,,
C,F,Independent Inquiry,F,,,,,,,,
C,G,Structured Coaching/Mentoring,G,,,,,,,,
C,H,Implementation of high effect practice(s),H,,,,,,,,
C,I,Job Embedded: Workshop training event or process focused on,I,,,,,,,,
C,J,Deliberate Practice,J,,,,,,,,
C,K,Problem Solving Process,K,,,,,,,,
F,all-sdp-ParticipationHours,STAFF_PD_PLAN,UDF,Participation Hours,ParticipationHours,Number,3,0,,,
F,all-sdp-PrimaryPurpose,STAFF_PD_PLAN,UDF,Primary Purpose,PrimaryPurpose,Character,1,0,FL Primary Purpose,Dropdown,
C,A,Add-on Endorsement,A,,,,,,,,
C,B,Alternative Certification,B,,,,,,,,
C,C,Florida Educators Certificate Renewal,C,,,,,,,,
C,D,Other Professional Certificate/License Renewal,D,,,,,,,,
C,E,Professional Skills Building - Non-Instructional,E,,,,,,,,
C,F,W.Cecil Golden Professional Development Program for School Leaders,F,,,,,,,,
C,G,Approved District Leadership Development Program,G,,,,,,,,
C,H,No certification job acquisition or retention purposes,H,,,,,,,,
F,all-sfp-ExperienceType,STAFF_POSITION,UDF,Experience Type,ExperienceType,Character,1,0,FL Experience Type,Dropdown,
C,A,Administration in education,A,,,,,,,,
C,C,Service to the district in current job code assignment,C,,,,,,,,
C,D,Teaching in current district,D,,,,,,,,
C,F,Teaching in Florida public schools,F,,,,,,,,
C,M,Military Service,M,,,,,,,,
C,N,Teaching in out-of-state nonpublic schools,N,,,,,,,,
C,P,Teaching in out-of-state public schools,P,,,,,,,,
C,S,Teaching in Florida nonpublic schools,S,,,,,,,,
F,all-sfp-FundSource1,STAFF_POSITION,UDF,Job Code Fund Source 1,JobCodeFundSource1,Character,1,0,FL Job Code Fund Source,,
C,B,Elementary and Secondary Education Act as amended by NCLB Title I Part A,B,,,,,,,,
C,C,Charter School Not Paid Through District,C,,,,,,,,
C,E,IDEA - Individuals with Disabilities Education Act,E,,,,,,,,
C,G,State/Local Funded Programs (e.g. FEFP and State Categorical Programs),G,,,,,,,,
C,M,Elementary and Secondary Education Act as amended by NCLB Title I Part C,M,,,,,,,,
C,N,State Fiscal Stabilization Funds (ARRA),N,,,,,,,,
C,O,Other Federal Programs,O,,,,,,,,
C,P,Targeted ARRA Stimulus Funds,P,,,,,,,,
C,Q,Other ARRA Stimulus Grants,Q,,,,,,,,
C,R,Reading First Grant,R,,,,,,,,
C,S,Florida Education Finance Program (FEFP) Reading Allocation,S,,,,,,,,
C,T,Race to the Top (ARRA),T,,,,,,,,
C,U,Education Jobs Fund,U,,,,,,,,
F,all-sfp-FundSourcePercentage1,STAFF_POSITION,UDF,Fund Source Percentage 1,FundSourcePercentage1,Number,10,8,,,
F,all-sfp-FundSource2,STAFF_POSITION,UDF,Job Code Fund Source 2,JobCodeFundSource2,Character,1,0,FL Job Code Fund Source,,
F,all-sfp-FundSourcePercentage2,STAFF_POSITION,UDF,Fund Source Percentage 2,FundSourcePercentage2,Number,10,8,,,
F,all-sfp-FundSource3,STAFF_POSITION,UDF,Job Code Fund Source 3,JobCodeFundSource3,Character,1,0,FL Job Code Fund Source,,
F,all-sfp-FundSourcePercentage3,STAFF_POSITION,UDF,Fund Source Percentage 3,FundSourcePercentage3,Number,10,8,,,
F,all-sfp-JobCode,STAFF_POSITION,SFP_JOB_CODE,Job Code,JobCode,Character,50,0,FL Job Codes,Dropdown,
F,all-sfp-PrimaryPosition,STAFF_POSITION,UDF,Primary School Position,PrimaryPosition,Logical,1,0,,,
F,all-skl-FacilityType,SCHOOL,UDF,Facility Type,FacilityType,Character,2,0,FL Facility Type,,
F,all-skl-NCLBTitleIIIFunded,SCHOOL,UDF,NCLB Title III Funded,TitleIIIFunded,Logical,1,0,,,
F,all-skl-ProgressMonitoringSchool,SCHOOL,UDF,Progress Monitoring and Reporting Network,PMRN,Logical,1,0,,,
F,all-skl-StateId,SCHOOL,SKL_SCHOOL_ID,Identifier,ID,Character,4,0,,,
F,all-scc-CTEExceptionalCourseSetting,STUDENT_SCHEDULE_CHANGE,UDF,Exceptional CTE Course Setting,CTE Setting,Character,1,0,FL Exceptional Student CTE Course Setting,Dropdown,
F,all-scc-DualEnrollmentIndicator,STUDENT_SCHEDULE_CHANGE,UDF,Dual Enrollment Indicator,DualEnrollment,Character,1,0,FL ELL Dual Enrollment,Dropdown,
F,all-scc-DualEnrollmentCrsLoc,STUDENT_SCHEDULE_CHANGE,UDF,Dual Enrollment Course Location,DualEnrollmentCrsLoc,Character,1,0,FL Dual Enrollment Course Location Codes,Dropdown,
F,all-scc-ELLInstructionalModel,STUDENT_SCHEDULE_CHANGE,UDF,ELL Instructional Model,ELL Model,Character,1,0,FL ELL Instructional Model,Dropdown,
F,all-scc-ReadingIntervention,STUDENT_SCHEDULE_CHANGE,UDF,Reading Intervention Component,ReadingIntervention,Logical,1,0,,,
F,all-ssc-CTEExceptionalCourseSetting,STUDENT_SCHEDULE,UDF,Exceptional CTE Course Setting,CTE Setting,Character,1,0,FL Exceptional Student CTE Course Setting,Dropdown,
F,all-ssc-DualEnrollmentIndicator,STUDENT_SCHEDULE,UDF,Dual Enrollment Indicator,DualEnrollment,Character,1,0,FL ELL Dual Enrollment,Dropdown,
F,all-ssc-DualEnrollmentCrsLoc,STUDENT_SCHEDULE,UDF,Dual Enrollment Course Location,DualEnrollmentCrsLoc,Character,1,0,FL Dual Enrollment Course Location Codes,Dropdown,
F,all-ssc-DualEnrollmentInstitutionType,STUDENT_SCHEDULE,UDF,Dual Enrollment Institution Type,Dual Enrollment Type,Character,1,0,FL Dual Enrollment Type,Dropdown,
C,A,Florida State College System Institution,A,,,,,,,,
C,B,"School District Career Center under s.1001.44, F.S./Charter Technical Career Center under 1002.34",B,,,,,,,,
C,C,Private Postsecondary Institution,C,,,,,,,,
C,D,State University System Institution,D,,,,,,,,
F,all-ssc-ELLInstructionalModel,STUDENT_SCHEDULE,UDF,ELL Instructional Model,ELL Model,Character,1,0,FL ELL Instructional Model,Dropdown,
F,all-ssc-WdisHrsToAward,STUDENT_SCHEDULE,UDF,WDIS Total Hours Earned Towards Award,Total Hrs Ernd Award,Character,6,0,,,
F,all-std-FederallyConnectedIndicator,STUDENT,UDF,Federally Connected Student Indicator,Federally Connected Indicator,Character,1,0,FL Federally Connected Indicator,Dropdown,
C,A,The student resides with a parent or guardian on active duty,A,,,,,,,,
C,B,The student resides on federally-owned Indian Lands,B,,,,,,,,
C,C,The student resides with a civilian parent/guardian who lives/works on eligible federal property,C,,,,,,,,
F,all-ssc-ReadingIntervention,STUDENT_SCHEDULE,UDF,Reading Intervention Component,ReadingIntervention,Logical,1,0,,,
F,all-std-AdditionalSchoolYear,STUDENT,UDF,Additional School Year,AdditionalSchoolYear,Character,1,0,FL Additional School Year,Dropdown,
C,D,Deferred receipt of standard diploma for students with disabilities,D,,,,,,,,
C,F,Opting to continue to receive FAPE,F,,,,,,,,
C,S,Seeking a Standard Diploma,S,,,,,,,,
F,all-std-AICEDiplomaEarned,STUDENT,UDF,AICE Diploma,AICE Diploma Earned,Logical,1,0,,,
F,all-std-BirthCountry,STUDENT,UDF,Birth Country,BirthCountry,Character,2,0,FL Birth Country Codes,,
F,all-std-CertificateOfCompletion,STUDENT,UDF,Certificate of Completion Type,Certificate Type,Character,3,0,FL Certificate Of Completion Type,Picklist,
