TYPE (F),F:Alias,F:Database Table,"F:Database Field (or ""UDF"")",F:Long Name,F:Short Name,F:User Type,F:User Length,F:User Decimals,F:Reference Table Name,F:Reference Display Mode (Dropdown/Picklist),F:Reference Valid Code Required
TYPE (C),C: Code,C: Description,C: State Code,C: Local Code,C: Federal Code,C: Category Name,C: Is a category?,C: Dependency Code,C: edfi enumeration value,C: NOT USED,C: NOT USED
TYPE (R),R: Reference Table OID,R: Reference Table Name,R: Reference Table Code Length,R: NOT USED,R: NOT USED,R: NOT USED,R: NOT USED,R: NOT USED,R: NOT USED,R: NOT USED,R: NOT USED
F,all-enr-CanadianResidenceStatus,STUDENT_ENROLLMENT,UDF,Canadian residence status,CA Residence Status,Character,0,0,OnSIS Residence Status Type,Picklist,,
F,all-enr-EntryDemitCountry,STUDENT_ENROLLMENT,UDF,Entry/Demit country,EntDmtCountry,Character,0,0,Country Codes,Picklist,,
F,all-enr-EntryDemitProvince,STUDENT_ENROLLMENT,UDF,Entry/Demit province,EntDemtProv,Character,0,0,Province Codes,Picklist,,
F,all-enr-EntryDemitBsid,STUDENT_ENROLLMENT,UDF,all-enr-EntryDemitBsid,all-enr-EntryDemitBsid,Character,0,0,BSID - Schools,Picklist,,
F,all-enr-MatureStudentFlag,STUDENT_ENROLLMENT,UDF,all-enr-MatureStudentFlag,all-enr-MatureStudentFlag,Logical,1,0,,,,
F,all-enr-TotalMinutesInCycle,STUDENT_ENROLLMENT,UDF,all-enr-TotalMinutesInCycle,all-enr-TotalMinutesInCycle,Number,10,0,,,,
F,all-enr-Fte,STUDENT_ENROLLMENT,UDF,all-enr-Fte,all-enr-Fte,Number,10,0,,,,
F,all-enr-FteHC,STUDENT_ENROLLMENT,UDF,all-enr-FteHC,all-enr-FteHC,Number,10,0,,,,
F,all-enr-GradeLevel,STUDENT_ENROLLMENT,UDF,all-enr-GradeLevel,all-enr-GradeLevel,Character,10,0,Grade Levels,,,
F,,STUDENT_ENROLLMENT,ENR_ENROLLMENT_CODE,,,Character,20,0,Entry-Demit Codes,Picklist,,
F,all-psn-ArrivalDateCanada,PERSON,UDF,all-psn-ArrivalDateCanada,all-psn-ArrivalDateCanada,Date,10,0,,,,
F,all-std-ReachAheadFlag,STUDENT,UDF,all-std-ReachAheadFlag,all-std-ReachAheadFlag,Logical,1,0,,,,
F,all-std-CommunityAccuHours,STUDENT,UDF,all-std-CommunityAccuHours,all-std-CommunityAccuHours,Number,5,0,,,,
F,all-std-Indigenous,STUDENT,UDF,Indigenous self identification,Indigenous,Character,0,0,OnSIS Indigenous Type,Picklist,,
F,all-std-OntarioScholarAwardedDate,STUDENT,UDF,all-std-OntarioScholarAwardedDate,all-std-OntarioScholarAwardedDate,Date,10,0,,,,
F,all-gpr-DiplomaType,GRADUATION_PROGRAM,GPR_DIPLOMA_TYPE,,,Character,25,0,Graduation Diploma Types,Picklist,,
F,all-gpr-SHSMProgramType,GRADUATION_PROGRAM,UDF,SHSM Program,SHSM Program,Character,25,0,OnSIS SHSM Program Types,Picklist,,
F,all-gsr-StartDate,GRADUATION_STUDENT_PROGRAM,UDF,all-gsr-StartDate,all-gsr-StartDate,Date,10,0,,,,
F,all-gsr-EndDate,GRADUATION_STUDENT_PROGRAM,UDF,all-gsr-EndDate,all-gsr-EndDate,Date,10,0,,,,
F,all-gsr-IssuedDate,GRADUATION_STUDENT_PROGRAM,UDF,all-gsr-IssuedDate,all-gsr-IssuedDate,Date,10,0,,,,
F,all-gsr-OntarioSkillsPassport,GRADUATION_STUDENT_PROGRAM,UDF,all-gsr-OntarioSkillsPassport,all-gsr-OntarioSkillsPassport,Character,2,0,,,,
F,all-gsr-SpcIce,GRADUATION_STUDENT_PROGRAM,UDF,all-gsr-SpcIce,all-gsr-SpcIce,Character,2,0,,,,
F,all-gsr-SpcCoding,GRADUATION_STUDENT_PROGRAM,UDF,all-gsr-SpcCoding,all-gsr-SpcCoding,Character,2,0,,,,
F,all-gsr-SpcMathLiteracy,GRADUATION_STUDENT_PROGRAM,UDF,all-gsr-SpcMathLiteracy,all-gsr-SpcMathLiteracy,Character,2,0,,,,
F,all-trn-CreditType,STUDENT_TRANSCRIPT,UDF,all-trn-CreditType,all-trn-CreditType,Character,3,0,OnSIS Credit Types,Picklist,,
F,all-trn-DateCompleted,STUDENT_TRANSCRIPT,UDF,all-trn-DateCompleted,all-trn-DateCompleted,Date,10,0,,,,
F,all-trn-PLARType,STUDENT_TRANSCRIPT,UDF,all-trn-PLARType,all-trn-PLARType,Character,10,0,OnSIS Plar Type,Picklist,,
F,all-trn-CourseDeliveryTypeOverride,STUDENT_TRANSCRIPT,UDF,all-trn-CourseDeliveryTypeOverride,all-trn-CourseDeliveryTypeOverride,Character,10,0,OnSIS Course Delivery Type,Picklist,,
F,all-trn-PLARStatus,STUDENT_TRANSCRIPT,UDF,all-trn-PLARStatus,all-trn-PLARStatus,Character,10,0,OnSIS Plar Status,Picklist,,
F,all-trn-CourseRepeated,STUDENT_TRANSCRIPT,UDF,all-trn-CourseRepeated,all-trn-CourseRepeated,Character,1,0,,,,
F,all-trn-CompulsoryRequirementMet,STUDENT_TRANSCRIPT,UDF,all-trn-CompulsoryRequirementMet,all-trn-CompulsoryRequirementMet,Character,10,0,Diploma Requirement Equivalent Codes,Picklist,,
F,all-trn-OtherCourseInfoOverride,STUDENT_TRANSCRIPT,UDF,all-trn-OtherCourseInfoOverride,all-trn-OtherCourseInfoOverride,Character,10,0,"OnSIS Other Course Information Type",Picklist,,
F,,SCHOOL_ROOM,RMS_TYPE,,,Character,25,0,OnSIS Room Types,Picklist,,
F,,STAFF_POSITION,SFP_JOB_CODE,,,Character,25,0,OnSIS Position Type,Picklist,,
F,,SCHEDULE_TERM,TRM_TERM_CODE,,,Character,25,0,OnSIS Schedule Term Codes,Picklist,,
F,all-sfp-WithdrawalType,STAFF_POSITION,UDF,all-sfp-WithdrawalType,all-sfp-WithdrawalType,Character,25,0,OnSIS Assignement Wdraw Types,Picklist,,
F,all-sfp-TeachingType,STAFF_POSITION,UDF,all-sfp-TeachingType,all-sfp-TeachingType,Character,25,0,OnSIS Teaching Type,Picklist,,
F,all-sfp-InstructionalTime,STAFF_POSITION,UDF,all-sfp-InstructionalTime,all-sfp-InstructionalTime,Text,50,0,OnSIS Instructional Time Type,Picklist,,
F,all-sfp-LeaveStartDate,STAFF_POSITION,UDF,all-sfp-LeaveStartDate,all-sfp-LeaveStartDate,Date,10,0,,,,
F,all-sfp-LeaveEndDate,STAFF_POSITION,UDF,all-sfp-LeaveEndDate,all-sfp-LeaveEndDate,Date,10,0,,,,
F,all-sfp-NTIPStatusType,STAFF_POSITION,UDF,all-sfp-NTIPStatusType,all-sfp-NTIPStatusType,Logical,1,0,,,,
F,all-sfp-LeaveType,STAFF_POSITION,UDF,all-sfp-LeaveType,all-sfp-LeaveType,Character,10,0,OnSIS Educator Leave Type,,,
F,all-sfp-TemporaryLetterApprovalID,STAFF_POSITION,UDF,all-sfp-TemporaryLetterApprovalID,all-sfp-TemporaryLetterApprovalID,Character,25,0,,,,
F,all-sfp-LetterPermission,STAFF_POSITION,UDF,all-sfp-LetterPermission,all-sfp-LetterPermission,Character,25,0,,,,
F,all-stf-MinistryEducatorNumber,STAFF,UDF,all-stf-MinistryEducatorNumber,all-stf-MinistryEducatorNumber,Character,25,0,,,,
F,,PERSON_ADDRESS,ADR_COUNTRY,,,Character,25,0,OnSIS Country Codes,Picklist,,
F,,PERSON_ADDRESS,ADR_STATE,,,Character,25,0,OnSIS State Province,Picklist,,
F,all-gtc-ReferenceEntryType,GRADE_TRANS_COLUMN_DEFINITION,UDF,all-gtc-ReferenceEntryType,all-gtc-ReferenceEntryType,Character,10,0,,,,
F,all-bel-DefaultFteBellTime,SCHEDULE_BELL,UDF,all-bel-DefaultFteBellTime,all-bel-DefaultFteBellTime,Logical,1,0,,,,
F,all-org-GradeDesignation,ORGANIZATION,UDF,all-org-GradeDesignation,all-org-GradeDesignation,Character,25,0,OnSIS Grade Designation,Picklist,,
F,all-gcd-CountAsLesson,GRADEBOOK_COLUMN_DEFINITION,UDF,all-gcd-CountAsLesson,all-gcd-CountAsLesson,Number,10,0,,,,
